"condition","dv1","dv2"
"A",4.17305012603094,6.64881217018425
"A",2.51444952078765,6.02976815751317
"A",2.14238164913016,5.18962185500366
"A",3.93800411846966,5.95585645504447
"A",5.16968409468668,6.64256296721685
"A",2.85708367480414,7.90789859256622
"A",6.70998646881511,5.50286495310257
"A",2.40626782058551,7.87976571696888
"A",2.96048352083531,3.84893272357959
"A",2.98740748851809,7.02725390675049
"A",2.78830275690813,7.87008475605038
"A",5.44582686251535,4.08985769607889
"A",5.28189722955646,6.69972182691437
"A",5.91906154567326,3.66267463428223
"A",4.06240837004315,5.21095197159725
"A",4.83155631191809,7.59425631683356
"A",2.8277886497284,6.96770139637712
"A",4.54207352307527,5.28959838511695
"A",5.93430586509411,5.92101954517257
"A",4.66743256410884,4.57943268576126
"A",5.30252578429852,7.83803874928957
"A",3.6527993736533,5.33582192773039
"A",2.91323325513446,7.70059489472345
"A",3.36793483440477,6.90800284472829
"A",4.98221491902104,4.59326436954782
"A",2.08304460624988,6.28584291515062
"A",4.92126300379105,6.0266345570247
"A",5.19624624587724,5.385239530448
"A",4.73378705582016,6.41128433628433
"A",3.82093753022845,7.7714295261219
"A",6.36777176961865,5.64311790270181
"A",4.03233607441091,7.63738811376711
"A",3.38208201665415,7.55262131309305
"A",3.44366419942204,9.85729147641775
"A",4.80168475982346,5.4723973362503
"A",3.85481571503013,5.20189955361371
"A",4.15255114713089,8.08314058130977
"A",4.7144557935675,5.01367562488617
"A",2.83786696031681,7.54934000580178
"A",2.7485785304375,9.58959617681827
"A",3.26596366607999,5.18069097340833
"A",4.75714291970349,7.23029399462076
"A",3.92701246735532,6.51710691067197
"A",4.06940683833827,6.49671045477146
"A",6.30458313025277,5.96976036950816
"A",3.70882860949288,7.64469434686294
"A",2.00967255063777,7.21240230534636
"A",2.84317557821205,2.79905339436489
"A",3.76391623050472,7.89271801823344
"A",3.11775958441492,4.71251122665737
"A",5.11752137520151,4.09841629965514
"A",4.65854985593325,9.10938479175434
"A",3.71590192226757,4.20893162082357
"A",1.75666272096183,4.09944051381083
"A",4.46731800859476,7.70370039446094
"A",3.41117108319412,4.50396878727773
"A",4.29988189381451,5.23279987932268
"A",2.92969256456827,2.93768323957767
"A",4.50733343094389,5.02682833761799
"A",5.42573169595683,6.91685045553956
"A",2.87193371906747,4.70752596009406
"A",1.08360131183971,5.44192345182287
"A",6.09029345796121,4.92183074910455
"A",2.69280665900561,4.63694039226332
"A",5.89276668862281,5.99045888969854
"A",3.37259795592399,4.77985308307953
"A",6.87816449413242,5.90720213761608
"A",1.67211260506046,7.76018591066758
"A",5.5470131756183,3.65903513459328
"A",2.22463352942871,6.93631144783927
"A",6.05266620328966,8.39976102706483
"A",5.46780972935969,6.15482861459708
"A",6.32208877495007,4.88285739818843
"A",2.29737382585692,6.73295410491075
"A",2.19220913152713,5.81443959064582
"A",3.95205374522612,3.28611707044287
"A",3.431928652488,7.08101288554971
"A",5.94656038691558,6.09307675311712
"A",4.88149096673579,5.76671320766947
"A",5.04411599948957,4.02313664104741
"A",5.50220168624549,7.96488239873954
"A",2.01377826765609,5.76697243624752
"A",7.04590119155399,6.85512261972467
"A",2.46195764129384,6.78582472002262
"A",0.849420880907277,6.08696363695914
"A",6.91666305700894,3.88307541885985
"A",2.86266639587007,7.28510508718121
"A",6.69424438482441,9.74922448921372
"A",5.07468373075576,4.37348303040655
"A",3.23964543050963,5.22341141310264
